O_order;O_code;O_dlots;O_Nlot;O_aval;O_daval;O_year_p;O_countryp_code;O_finstr;R_bids;R_dbids;O_dnegotiated;O_scope;E_Pref;R_pcost;E_indice;O_catpro;E_GDP_1;E_DTF_1;E_distance;viable
265;133365;1;1;5000;1;2016;TK;IPA;3;1;0;0;333333,33;486049,45;1,4581;1;1087,876;73,26;2658;1
266;133365;1;2;1300;1;2016;TK;IPA;3;1;0;0;86666,67;152622;1,761;1;1087,876;73,26;2658;1
267;133560;1;2;10000;1;2015;TK;IPA;3;1;0;0;666666,67;544360;0,8165;4;1025,467;72,83;2995;1
268;133730;1;3;1000;1;2015;TK;IPA;3;1;0;0;66666,67;54690;0,8204;1;1025,467;72,83;2823;1
271;134936;1;2;2500;1;2015;TK;IPA;3;1;1;0;166666,67;238000;1,428;3;1025,467;72,83;3018;1
273;135445;1;1;1900;1;2014;BA;IPA;3;1;0;0;126666,67;57750;0,4559;1;17,603;69,55;1307;1
274;135702;1;2;800;1;2015;MK;IPA;3;1;0;0;53333,33;48473;0,9089;1;10,222;74,43;1629;1
275;135702;1;4;2700;1;2015;MK;IPA;3;1;1;0;180000;118800;0,66;2;10,222;74,43;1629;1
277;135867;1;1;1200;1;2014;ME;IPA;3;1;0;0;80000;58328,63;0,7291;2;4,304;79,22;1466;1
278;135867;1;2;5500;1;2014;ME;IPA;3;1;0;0;366666,67;296730;0,8093;2;4,304;79,22;1466;1
279;135882;1;2;3000;1;2014;XK;IPA;3;1;0;0;200000;287343,76;1,4367;2;6,503;66,71;1563;1
280;135892;1;3;1500;1;2014;MK;IPA;3;1;1;0;100000;149040;1,4904;4;9,864;74,43;1629;1
281;135916;0;1;12000;1;2015;AL;IPA;3;1;0;0;800000;958375;1,198;2;12,751;72,55;1593;1
282;135972;1;1;1900;1;2015;TK;IPA;3;1;0;0;126666,67;107282;0,847;1;1025,467;72,83;2516;1
283;135972;1;2;1500;1;2015;TK;IPA;3;1;0;0;100000;135453;1,3545;3;1025,467;72,83;2516;1
285;136053;1;3;3000;1;2015;TK;IPA;3;1;0;0;200000;183015;0,9151;4;1025,467;72,83;2516;1
286;136053;1;4;1000;1;2015;TK;IPA;3;1;0;0;66666,67;103080;1,5462;4;1025,467;72,83;2516;1
289;136239;1;2;2000;1;2014;MK;IPA;3;1;0;0;133333,33;106825;0,8012;4;9,864;74,43;1629;1
290;136311;1;1;10000;1;2015;MK;IPA;3;1;0;0;666666,67;839608;1,2594;2;10,222;74,43;1629;1
291;136343;1;1;4000;1;2016;TK;IPA;3;1;0;0;266666,67;186680;0,7001;2;1087,876;73,26;2516;1
293;136369;1;1;2800;1;2015;TK;IPA;3;1;0;0;186666,67;182546;0,9779;2;1025,467;72,83;2516;1
294;136369;1;2;1000;1;2015;TK;IPA;3;1;0;0;66666,67;28342,65;0,4251;1;1025,467;72,83;2516;1
